36
   1   1   2   5  -5   1  particle            
   2   1   2   5  -3   1  particle            
   3   1   2   5  -1   1  particle            
   4   1   2   5   1   1  particle            
   5   1   2   5   3   1  particle            
   6   1   2   5   5   1  particle            
   7   2   0   1  -1   1  particle            
   8   2   0   1   1   1  particle            
   9   0   4   7  -7   1  particle            
  10   0   4   7  -5   1  particle            
  11   0   4   7  -3   1  particle            
  12   0   4   7  -1   1  particle            
  13   0   4   7   1   1  particle            
  14   0   4   7   3   1  particle            
  15   0   4   7   5   1  particle            
  16   0   4   7   7   1  particle            
  17   1   2   3  -3   1  particle            
  18   1   2   3  -1   1  particle            
  19   1   2   3   1   1  particle            
  20   1   2   3   3   1  particle            
  21   1   1   3   3  -1  hole                
  22   1   1   3   1  -1  hole                
  23   1   1   3  -1  -1  hole                
  24   1   1   3  -3  -1  hole                
  25   1   1   1   1  -1  hole                
  26   1   1   1  -1  -1  hole                
  27   0   4   9   9  -1  hole                
  28   0   4   9   7  -1  hole                
  29   0   4   9   5  -1  hole                
  30   0   4   9   3  -1  hole                
  31   0   4   9   1  -1  hole                
  32   0   4   9  -1  -1  hole                
  33   0   4   9  -3  -1  hole                
  34   0   4   9  -5  -1  hole                
  35   0   4   9  -7  -1  hole                
  36   0   4   9  -9  -1  hole                
