   1   1   2   5  -5   1   1   1 particle            
   2   1   2   5  -3   1   1   1 particle            
   3   1   2   5  -1   1   1   1 particle            
   4   1   2   5   1   1   1   1 particle            
   5   1   2   5   3   1   1   1 particle            
   6   1   2   5   5   1   1   1 particle            
   7   2   0   1  -1   1   2   1 particle            
   8   2   0   1   1   1   2   1 particle            
   9   0   4   7  -7   1   3   1 particle            
  10   0   4   7  -5   1   3   1 particle            
  11   0   4   7  -3   1   3   1 particle            
  12   0   4   7  -1   1   3   1 particle            
  13   0   4   7   1   1   3   1 particle            
  14   0   4   7   3   1   3   1 particle            
  15   0   4   7   5   1   3   1 particle            
  16   0   4   7   7   1   3   1 particle            
  17   1   2   3  -3   1   4   1 particle            
  18   1   2   3  -1   1   4   1 particle            
  19   1   2   3   1   1   4   1 particle            
  20   1   2   3   3   1   4   1 particle            
  21   0   5  11 -11   1   5   1 particle            
  22   0   5  11  -9   1   5   1 particle            
  23   0   5  11  -7   1   5   1 particle            
  24   0   5  11  -5   1   5   1 particle            
  25   0   5  11  -3   1   5   1 particle            
  26   0   5  11  -1   1   5   1 particle            
  27   0   5  11   1   1   5   1 particle            
  28   0   5  11   3   1   5   1 particle            
  29   0   5  11   5   1   5   1 particle            
  30   0   5  11   7   1   5   1 particle            
  31   0   5  11   9   1   5   1 particle            
  32   0   5  11  11   1   5   1 particle            
  33   1   1   3   3  -1   6   1 hole                
  34   1   1   3   1  -1   6   1 hole                
  35   1   1   3  -1  -1   6   1 hole                
  36   1   1   3  -3  -1   6   1 hole                
  37   1   1   1   1  -1   7   1 hole                
  38   1   1   1  -1  -1   7   1 hole                
  39   0   4   9   9  -1   8   1 hole                
  40   0   4   9   7  -1   8   1 hole                
  41   0   4   9   5  -1   8   1 hole                
  42   0   4   9   3  -1   8   1 hole                
  43   0   4   9   1  -1   8   1 hole                
  44   0   4   9  -1  -1   8   1 hole                
  45   0   4   9  -3  -1   8   1 hole                
  46   0   4   9  -5  -1   8   1 hole                
  47   0   4   9  -7  -1   8   1 hole                
  48   0   4   9  -9  -1   8   1 hole                
